all_authors,year_published,title,publisher,volume,document_link,date_uploaded,abstract,keywords,pdf_path,cleaned,start,end
,2019,A Google programme failed to detect cold fusion -- but is still a success,Nature,569,,,,,,,,
,2020,Cold Fusion Advances in Condensed Matter Nuclear Science,Elsevier,,,,,,,,,
"Abbenseth, R., Wipf, H.",1980,Thermal Expansion and Lattice Anharmonicity of Pd-H and Pd-D Alloys,J. Phys. F: Met. Phys.,10,https://iopscience.iop.org/article/10.1088/0305-4608/10/3/006/meta?casa_token=-OJXVJDnK5sAAAAA:KGKJcAUD0-4DBBkiNko_4L1VN2oqrfDyqNlpHXNVGXbNljLM3qJc96V9_38C2nvH6owWy71pfg,,"The authors have made thermal expansion measurements on Pd-H and Pd-D alloys. The measurements were performed between 9 and 270K, and with H(D) concentrations ranging from 0.69 to 0.82 H(D)/Pd atom ratios. Above 80K (in pure beta phase), the thermal expansion of Pd-H and Pd-D is increased compared with that of pure Pd, for comparable concentrations, D-doped samples have a larger expansion than those doped with H. For PdH0.7(PdD0.7), the authors find an essentially isotope-independent Gruneisen constant gamma H=3.0+or-0.7 for the optical phonons and a Gruneisen constant gamma ac=3.0+or-0.5 for the acoustic phonons.","Thermal Expansion, Lattice Parameter, PdH, PdD",Thermal Expansion and Lattice Anharmonicity of Pd-H and Pd-D Alloys.pdf,,,
ABC,1994,"""Good Morning America""",,,,,,history,,,,
"Abell, G. C., Attalla, A.",1987,NMR Evidence for Solid-Fluid Transition Near 250 K of 3He Bubbles in Palladium Tritide,Phys. Rev. Lett.,59,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.59.995,,"Nuclear magnetic resonance relaxation times for 3He
 in microscopic bubbles in 1-yr-old Pd 3H0.62
 have been measured in the range 100–320 K. The results provide evidence for the melting of He in the range 200–280 K and for He diffusion in solid He below 200 K. The observed melting temperatures give a mean He atom density, from which the ratio of He atoms to host atom vacancies is found to be 2.0. An activation energy for He diffusion has been obtained and its relationship to the observed mean melting temperature is compared with that found in bulk 3Heat much lower densities.","Pd tritium, Helium, PdT",NMR Evidence for Solid-Fluid Transition Near 250 K of 3He Bubbles in Palladium Tritide.pdf,,,
"Abell, G. C., Matson, L. K., Steinmeyer, R. H., Bowman Jr., R. C., Oliver, B. M.",1990,Helium release from aged palladium tritide,Phys. Rev. B: Mater. Phys.,41,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.41.1220,,"Experimental studies of helium release from aged PdTx
 show that the helium-to-metal-atom ratio saturates at a value of [He]/[Pd]≃0.5 under conditions of ambient-temperature storage. Below this value, very little helium release occurs. Thermal desorption experiments show that release from a sample with [He]/[Pd]≃0.3 requires temperatures in excess of ∼600 K, while release from a sample with [He]/[Pd]≃0.02 requires temperatures in excess of at least 1300 K. These results are related to the question of the disposition of helium that would be produced by hypothetical fusion reactions iaPdDx electrode.","Helium diffusion, PdT",Helium release from aged palladium tritide.pdf,,,
"Aben, P. C., Burgers, W. G.",1989,Surface Structure and Electrochemical Potential of Palladium while Absorbing Hydrogen in Aqueous Solution,Trans. Faraday Soc.,56,https://pubs.rsc.org/en/content/articlepdf/1962/tf/tf9625801989?casa_token=CMLRb3_hrn8AAAAA:NUfqsvLXNkJ-fiRCNFlyjobaS9n19l5CtZLa2JlH9yh_wgGekm-KDnctMYRQw6jKhg4nr8A4jI2EMGA,,"It is known from several investigations that the potential of a palladium electrode while absorbing
hydrogen from an acidic solution at atmospheric pressure shows at first a steep fall, then a con- stant region and finally a gradual decrease to zero. X-ray diffraction shows conclusively that the
surface layer of the electrode in these three stages consists of respectively the a-phase, the coexistent ct- and /?-phases and the 8-phase. The lattice parameter increases slightly in the first region (from a = 3.882 to 3.886 KX), shows two constant values in the plateau-region (3.886 KX and 4017 KX,
respectively) and increases again in the third region from 4017 to 4-031 KX (all values &0-001-
0.002 KX). ","Pd, hydrogen, lattice Parameter, overvoltage, phase Diagram, PdH",Surface Structure and Electrochemical Potential of Palladium while Absorbing Hydrogen in Aqueous Solution.pdf,,,
"Aberdam, D., Avenier, M., Bagieu, G., Bouchez, J., Cavaignac, J. F., Collot, J., Durand, R., Faure, R., Favier, J., Kajfasz, E., Koang, D. H., Lefievre, B., Lesquoy, E., Pessard, H., Rouault, A., Senateur, J. P., Stutz, A., Weiss, F.",1990,Limits on neutron emission following deuterium absorption into palladium and titanium,Phys. Rev. Lett.,65,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.65.1196,,"No evidence of neutron emission was observed following deuterium loading into palladium and titanium in both electrochemical and pressurization experiments. Upper limits obtained with a detector having a very clean neutron signature are at least 100 times lower than values reported in recent publications giving evidence of cold fusion. The deduced fusion rate limits were lower than 2×
10−26 per second per pair of deuterons.

","neutron, method",Limits on neutron emission following deuterium absorption into palladium and titanium.pdf,,,
"Abriola, D., Achterberg, E., Davidson, M., Debray, M., Etchegoyen, M. C., Fazzini, N., Niello, J. F., Ferrero, A. M. J., Filevich, A., Galia, M.C., Garavaglia, R., B., Garcia, Gettar, R. T., Gil, S., Grahmann, H., Huck, H., Jech, A., Kreiner, A. J., Macchiavelli, A. O., Magallanes, J. F., Maqueda, E., Marti, G., Pacheco, A. J., Percz, M. L., Pomar, C., Ramirez, M., Scassera, M.",1989,Examination of nuclear measurement conditions in cold fusion experiments,J. Electroanal. Chem.,265,https://www.sciencedirect.com/science/article/pii/0022072889802062,,,"gamma emission, neutron, electrolysis, Pd, D2O, PdCl2",Examination of nuclear measurement conditions in cold fusion experiments.pdf,,,
"AbuTaha, A. F.",1990,Cold fusion - engineering perspectives,J. Fusion Energy,9,https://link.springer.com/article/10.1007/BF01588268,,"Considerable heat was liberated from a palladium-deuterium (Pd-D) system and this was attributed to cold nuclear fusion of deuterium within the palladium lattice.1 The primary source of heat in cold fusion was proposed to be the work-of-fracture of cracks in the Pd electrodes, and the mechanism for crack initiation and propagation was identified as deuterium or hydrogen embrittlement.2 In this paper, comparable characteristics of cold fusion and embrittlement are established, relevant aspects of the extensive engineering database on hydrogen and deuterium embrittlement are reviewed, some areas of study and applications of the cold fusion process are identified, and parameters for controlling the ignition and heat release from metals are specified.","lattice stress, stored energy critique",Cold fusion - engineering perspectives.pdf,,,
"AbuTaha, A. F.",1990,Cold fusion - the heat mechanism,J. Fusion Energy,9,https://link.springer.com/article/10.1007/BF01059254,,"The assumption that deuterium, and not palladium, is the fuel in the Pons-Fleischmann experiments led to high expectations of cold nuclear fusion. The conversion of mechanical energy to heat was neglected in studying the phenomenon. Considerable strain energy is stored in metals when processed from the ore. The initiation, growth, and propagation of cracks in the bulk disturb the energy balance within the metal. Deuterium induces and propagates cracks in metals and alloys, including palladium. The sudden discharge of fracture energy during crack propagation generates considerable heat. The abundance of deuterium in cracked palladium will not continue the heat-generation process. The confident figures-of-merit of cold fusion have been based on the small energy input to the electrolytic cells and do not consider the substantial energy required to process (by melting) the palladium from the ore, or to recycle the cracked electrode samples. In this paper, the work-of-fracture is shown to be the likely mechanism responsible for the excess heat in cold fusion.","critique lattice stress, stored energy fractofusion",Cold fusion - the heat mechanism.pdf,,,
"Abyaneh, M., Fleischmann, M., Del Giudice, E., Vitiello, G.",2004,"Concerning the Modeling of Systems in Terms of Quantum Electrodynamics (QED): The Special Case of ""Cold Fusion""",Eleventh International Conference on Condensed Matter Nuclear Science,,https://inis.iaea.org/search/searchsinglerecord.aspx?recordsFor=SingleRecord&RN=37113798,,"A question we are asked repeatedly is: 'what are the causes of the opposition to your belief in the reality of 'Cold Fusion?'. This question is normally asked in the context of the statement that Quantum Mechanics shows that this phenomenon is impossible (a view that we share). Our answer is always based on the statement 'but what about the modelling of such systems in terms of QED?' which is always met by the insistence that Quantum Mechanics shows that Cold Fusion is impossible. We conclude that scientists do not understand QED or, if they have some understanding of this subject, then this must be subject to some major misconceptions. This pointless dialogue (perhaps more correctly described as two monologues conducted in parallel) and the insistence on the primacy of Quantum Mechanics in the modelling of systems in the Natural Sciences is unfortunate because it obscures the outcome of the investigations in the more normal fields of the Natural Sciences (more normal than Cold Fusion). A brief outline of the work which has led to the formulation of the concept of coherence will therefore be given under the aegis of the revolutions in our understanding of the Natural Sciences which has taken place since the latter part of the 19. Century. The main illustration of the way we can demonstrate the applicability of these concepts will be based on the study of nucleation and phase growth. The development of micro-electrode substrates allows us to study the statistics of the formation of the first nucleus; it will be shown that these statistics are strictly in line with concepts developed from QED coherence. We conclude that QED coherence is not just a concept to be confined to sub-atomic physics, cosmology etc. but that it pervades the modelling of the whole of the Natural Sciences including that of 'Cold Fusion'. Some of the major steps which have taken place in the development of this subject area will be illustrated",theory,"Concerning the Modeling of Systems in Terms of Quantum Electrodynamics (QED): The Special Case of ""Cold Fusion"".pdf",,,
"Accomazzi, P.",2017,Binuclear Atoms: A Model to Explain Low Energy Nuclear Reactions,J. Condensed Matter Nucl. Sci.,25,http://lenr-canr.org/acrobat/BiberianJPjcondensedx.pdf#page=74,2018-09-03,"In this paper we show that the helium-like hydrogen spectra obtained by Randell L. Mills  and ultra-dense hydrogen obtained by Holmlid  can be interpreted as experimental evidence of Binuclear Atoms. The hydrogen Binuclear Atom, a model proposed 25 years ago, is a metastable configuration in which the two nuclei are held together at a very short distance in an atom-like configuration. This should be a distinctive configuration of the hydrogen molecule where nuclei are characterized by a high kinetic energy, and nuclear motion is coupled with electronic motion. This is a completely different model from the usual Born-Oppenheimer picture of atoms and molecules we are used to, where nuclei oscillate about their equilibrium positions and electronic motion is decoupled from the nuclear one. The identification of helium-like hydrogen spectra and ultra-dense hydrogen as Binuclear Atoms has a strong impact on one of the main objections to Low Energy Nuclear Reactions (LENR): the overcoming of the Coulomb barrier thus identifying a sound mechanism for the occurrence of LENR.  This work is not  conclusive. The only goal of this work is to focus the attention of people interested in LENR mechanism on this subject, and encourage them to take this hypothesis more seriously.","Binuclear atom, LENR, Mills hydrino, Rossi E-Cat, Ultra dense hydrogen",12_BiberianJPjcondensedx.pdf,,74.0,81.0
"Ackermann, E.",2005,Indicators of Failed Information Epidemics in the Scientific Journal Literature: A Publication Analysis of Polywater and Cold Nuclear Fusion,Scientametrics,66,https://link.springer.com/article/10.1007/s11192-006-0033-0,,"A literature review uncovered six distinctive indicators of failed information epidemics in the scientific journal literature: (1) presence of seminal papers(s), (2) rapid growth/decline in author frequency, (3) multi-disciplinary research, (4) epidemic growth/decline in journal publication frequency, (5) predominance of rapid communication journal publications, and (6) increased multi-authorship. These indicators were applied to journal publication data from two known failed information epidemics, Polywater and Cold Nuclear Fusion. Indicators 1-4 were distinctive of the failed epidemics, Indicator 6 was not, and Indicator 5 might be. Further bibliometric study of these five indicators in the context of other epidemic literatures needed.",review,Indicators of Failed Information Epidemics in the Scientific Journal Literature: A Publication Analysis of Polywater and Cold Nuclear Fusion.pdf,,,
"Adachi, G., Sakaguchi, H., Nagao, K.",1992,(3)He and (4)He from D2 absorbed in LaNi5,J. Alloys and Compounds,181,https://www.sciencedirect.com/science/article/pii/0925838892903427,,"Helium isotopes from D2 gas absorbed by LaNi5 were analyzed with a noble gas mass spectrometer to search for evidence of cold fusion. The ratio of 3He to 4He in the sample gas obtained after repeated temperature cycling for about 30 days was different from that in the sample gas before treatment. Increases in 3He were observed in two experiments using different reaction vessels, indicating that a nuclear reaction may have occurred.","Helium LiNi5, D2",(3)He and (4)He from D2 absorbed in LaNi5.pdf,,,
"Adamenko, S., Vysotskii, V.",2003, ,Tenth International Conference on Cold Fusion,,http://lenr-canr.org/acrobat/AdamenkoSexperiment.pdf,2009-12-14,The problem of supercompression of a solid target to a collapse state is considered. The basic principles of construction and the parameters of an experimental setup ensuring such a supercompression are described. The model and method of creation and evolution of superheavy nuclear clusters with 250<A<500 and A>3000-5000 in the controlled collapse zone and in the volume of a remote accumulating screen are discussed. The evolution of such clusters results in the synthesis of isotopes with 1<A<500 and with anomalous spatial distribution in the volume of a remote screen. These phenomena were interpreted on the basis of the idea of the formation of a self-organizing and self-supporting collapse of the electron-nucleus plasma under the action of a coherent driver up to a state close to the nuclear substance.,superheavy nuclei,15_AdamenkoSexperiment.pdf,,,
"Adamenko, S., Vysotskii, V.",2004,The Conditions And Realization Of Self-Similar Coulomb Collapse Of Condensed Target And Low-Energy Laboratory Nucleosynthesis,Eleventh International Conference on Condensed Matter Nuclear Science,,,,,theory,,,,
"Adamenko, S., Vysotskii, V.",2005,Observation And Modeling Of The Ordered Motion Of Hypothetical Magnetically Charged Particles On The Multilayer Surface And The Problem Of Low-Energy Fusion,The 12th International Conference on Condensed Matter Nuclear Science,,,,,theory,,,,
"Adamenko, S., Vysotskii, V.",2008,The possible mechanism of creation of light magnetic monopoles in strong magnetic field of a laboratory system,ICCF-14 International Conference on Condensed Matter Nuclear Science,,http://lenr-canr.org/acrobat/AdamenkoSthepossibl.pdf,2009-10-02,"In this work the reasons and mechanism of the creation of unknown magneto-charged particles, which were observed in experiments on supercompression of condensed target in Kiev Electrodynamics Laboratory ""Proton-21"", are discussed. It is shown that these particles are most probably the hypothetical light magnetic monopoles that were introduced by George Lochak as magneto-excited neutrinos. The parameters of these particles (including mass of monopole and both size and binding energy of monopole-antimonopole pair) and the method of their creation are discussed and calculated.",theory,18_AdamenkoSthepossibl.pdf,,,
"Adkisson, W. M.",1991,The Cause of and Happenings During Cold Fusion Events,,,,,,history,,,,
"Adler, P. N., Schulte, R. L., Margolin, H.",1990,Deuterium surface segregation in titanium alloys,Metal. Trans.,21A,https://link.springer.com/article/10.1007/BF02647248,,"Deuterium surface segregation has been investigated in α, α + β, and β-phase titanium that were deuterium charged over the range of 2 to approximately 300 wppm. Surface segregation was observed in samples that were essentially α-phase materials,i.e., high-purity commercial α-Ti, Ti-6A1, and Ti-3A1-2.5V, whereas Ti-6A1-4V had slight enrichment and β-Ti-13Mn had no detectable segregation. Nuclear reaction analysis (NRA) techniques were used to measure the near-surface deuterium concentration, and the segregation has been localized to within 50 nm of the surface. The time-dependent increase of deuterium at the surface is consistent with deuterium diffusion from the bulk to the surface and a room-temperature diffusivity of approximately 3 × 10-9 cm2/s. Surface enrichment in excess of 30 times the bulk concentration was observed in charged samples and in excess of 60 times for samples that had been charged and then vacuum annealed. Polishing was found to be of importance in causing segregation. The presence of deuterides or a surface defect state is suggested to explain the deuterium surface enrichment.","TiD, transmutation, D2, Ti",Deuterium surface segregation in titanium alloys.pdf,,,
"Adzic, R. R., Gervasio, I., Bae, I., Cahan, B., Yeager, E.",1990,Tritium Measurements and Deuterium Loading in D2O Electrolysis With a Palladium Cathode,The First Annual Conference on Cold Fusion,1,http://lenr-canr.org/acrobat/AdzicRRtritiummea.pdf,2007-04-27,"Measurements have been performed to check on the Fleischmann-Pons (F-P) phenomena. They involved 1) measurements of tritium in the cell solution and the gas above it; and 2) determination of the D/Pd ratio by coulometry. Enhancement of tritium in the D2O solution was found in these two open glass cells, as well as in another four cells with Ni-anodes. The largest enhancement factor found was ~50. The neutron measurements were inconclusive.","Pd, D2O, tritium, OCV, loading, ICCF-1",21_AdzicRRtritiummea.pdf,,,
"Afanaseyev, V. P., Dyuzhev, G. A., Logatchev, A. A., Tsirkel', B. I., Shkolnik, S. M., Kazarinov, N., Solin, L. M.",1994,On the Possibility of D-D Fusion Stimulation by High-Current Arc Discharge in Gas-Filled Metal,International Symposium on Cold Fusion and Advanced Energy Sources,1,http://www.iscmns.org/FIC/CFSB.pdf#page=172,,,"Ti, Pd, D2, gas discharge, neutron",On the Possibility of D-D Fusion Stimulation by High-Current Arc Discharge in Gas-Filled Metal.pdf,,172.0,181.0
"Affatato, S., Bertin, A., Bruschi, M., Bulgarelli, D., Bystritsky, V. M., Capponi, M., D'Antone, I., DeCastro, S., Galli, D., Marconi, U., Massa, I., Morganti, M., Moroni, C., Piccinini, M., Poli, M., Semprini-Cesari, N., Villa, M., Vitale, A., Zavattini, G., Zoccoli, A.",1990,Measurement of a Very Low Neutron Background Within a Significant Gamma-Ray Environment by Means of a Coincidence Spectrometer with n-g Pulse-Shape Discrimination,"Anomalous Nuclear Effects in Deuterium/Solid Systems, ""AIP Conference Proceedings 228""",1,,,"We present the results of measurements of the gamma‐ray and neutron background in the Gran Sasso Laboratory, which were performed by a novel coincidence spectrometer allowing neutron identification by means of two different stages of pulse‐amplitude analysis.","neutron, gamma emission, method",Measurement of a Very Low Neutron Background Within a Significant Gamma-Ray Environment by Means of a Coincidence Spectrometer with n-g Pulse-Shape Discrimination.pdf,,,
